query,COG_category,PFAMs
1458300_1061_79,C,BATS_Radical_SAM_ThiG
1458300_1061_80,H,ThiG
1458300_1061_81,H,ThiS
1458300_1061_82,H,ThiF
1458300_1061_83,H,TMPTENI
1458300_1061_84,H,ThiCassociated_ThiC_Rad_SAM
1458300_1061_85,D,CRCB
1458300_1482_1,G,Transket_pyr_Transketolase_C_Transketolase_N
1458300_1992_2,K,Acetyltransf_1_Acetyltransf_10
1458300_1992_3,K,MqsA_antitoxin
1458300_1992_4,S,RelE
1458300_2569_1,L,Transposase_mut
1458300_2889_1,J,GTP_EFTU_GTP_EFTU_D2_GTP_EFTU_D3
1458300_3052_1,I,PLDc_2_Regulator_TrmB
1458300_3052_2,E,Acetyltransf_10_Acetyltransf_7
1458300_3052_3,M,FAD_binding_4_MurB_C
1458300_3052_4,H,BPL_C_BPL_LplA_LipB_HTH_11
1458300_3052_5,F,PRK
1458300_3052_6,J,GTP_EFTU_GTP_EFTU_D2_GTP_EFTU_D3
1458300_3069_1,K,HTH_19_HTH_3
1458300_3069_2,L,Rep_trans
1458300_3069_3,S,CTX_RstB
1458300_3192_1,E,GDCP
1458300_3192_2,E,GCV_H
1458300_3192_3,E,SHMT
1458300_3192_4,K,Cupin_2_HTH_3
1458300_3192_5,H,GCV_T_GCV_T_C
1458300_3192_6,L,ArmDNAbind_3_Phage_int_SAM_3_Phage_integrase
1458300_3192_7,L,DDE_Tnp_1_DUF772
1458300_3291_1,E,Glyoxalase
1458300_3291_2,L,RelB
1458300_3291_3,S,YafQ_toxin
1458300_3362_1,,
1458300_3362_2,S,PAAR_motif
1458300_3362_3,,
1458300_3362_5,J,HGTP_anticodon_TGS_tRNAsynt_2b_tRNA_SAD
1458300_3362_6,J,IF3_C_IF3_N
1458300_3362_7,J,Ribosomal_L35p
1458300_3362_8,J,Ribosomal_L20
1458300_3362_9,L,Phage_int_SAM_4_Phage_integrase
1458300_3362_11,E,
1458300_3412_2,S,LRAT
1458300_3412_3,S,DUF1349
1458300_3412_4,,
1458300_3904_1,J,GTP_EFTU_GTP_EFTU_D2_GTP_EFTU_D3
1458300_3904_2,P,Fer2_BFD
1458300_3904_3,P,Ferritin
1458300_3904_4,J,Ribosomal_S6
1458300_3904_5,L,SSB
1458300_3904_6,J,Ribosomal_S18
1458300_3904_7,J,Ribosomal_L9_C_Ribosomal_L9_N
1458300_3904_8,M,DUF481
1458300_3904_9,L,DnaB_DnaB_C
1458300_3904_10,M,Ala_racemase_C_Ala_racemase_N
1458300_3904_11,S,UPF0047
1458300_3904_12,G,PGI
1458300_3904_13,S,Lactamase_B_2
1458300_3904_14,N,CheX
1458300_3904_15,K,FUR
1458300_3904_16,J,Dus
1458300_3904_17,S,Phageshock_PspG
1458300_3904_18,M,OMP_bbrl
1458300_3904_19,,
1458300_3904_20,P,FAD_binding_1_Flavodoxin_1_NAD_binding_1
1458300_3904_21,H,NIR_SIR_NIR_SIR_ferr
1458300_3904_22,EH,PAPS_reduct
1458300_3962_1,S,DUF2805
1458300_3962_2,,
1458300_3962_3,E,Glyoxalase
1458300_3962_5,S,Glyoxalase
1458300_4201_1,G,Transket_pyr_Transketolase_C_Transketolase_N
1458300_4201_2,H,SAdoMet_synt_C_SAdoMet_synt_M_SAdoMet_synt_N
1458300_4201_3,S,SprTlike_Zn_ribbon_SprT
1458300_4201_4,L,Endonuclease_1
1458300_4201_5,J,Methyltrans_RNA
1458300_4201_6,H,GSHS_ATP_GSHS_N
1458300_4201_7,K,DUF179
1458300_4201_8,L,RuvX
1458300_4201_9,J,S4_tRNAsynt_1b
1458300_4201_10,K,GerE
1458300_4201_11,NU,T2SSE
1458300_4201_12,NU,T2SSE
1458300_4201_13,S,Ala_racemase_N
1458300_4201_14,E,F420_oxidored_P5CR_dimer
1458300_4201_15,S,YGGT
1458300_4201_16,S,DUF167
1458300_4201_17,S,DUF4426
1458300_4201_18,F,Ham1p_like
1458300_4201_19,H,HemN_C_Radical_SAM
1458300_4201_20,E,Glutaminase
1458300_4201_21,J,Methyltransf_4
1458300_4201_22,L,EndIII_4Fe2S_HHH_HhHGPD_NUDIX_4
1458300_4201_23,C,Iron_traffic
1458300_4201_24,M,DUF3393_SLT
1458300_4201_25,NT,MCPsignal_sCache_2
1458300_4201_26,O,DnaJ_TerB
1458300_4201_27,M,OstA_OstA_C
1458300_4201_28,M,Rotamase_Rotamase_3_SurA_N
1458300_4201_29,H,PdxA
1458300_4201_30,J,RrnaAD
1458300_4201_31,P,DUF525
1458300_4201_32,T,Metallophos
1458300_4201_33,H,DHFR_1
1458300_4201_34,S,ThrE_2
1458300_4201_35,S,ThrE
1458300_4201_36,S,GTP1_OBG_MMR_HSR1
1458300_4201_37,J,Ribosomal_L27
1458300_4201_38,J,Ribosomal_L21p
1458300_4201_39,H,polyprenyl_synt
1458300_4201_40,E,AA_permease_2
1458300_4201_41,E,AA_permease_2
1458300_4201_42,C,Ldh_1_C_Ldh_1_N
1458300_4201_43,K,Arg_repressor_Arg_repressor_C
1458300_4201_44,S,NMT1_3
1458300_4201_45,S,DUF3394_DctM
1458300_4201_46,T,Usp
1458300_4201_47,S,DUF2061
1458300_4201_48,G,Glyco_hydro_2_N
1458300_4201_49,S,RraB
1458300_4201_50,E,Amidinotransf
1458300_4201_51,S,PmbA_TldD
1458300_4201_52,S,CN_hydrolase
1458300_4201_53,S,AsmA_2_DUF3971
1458300_4201_54,J,RNase_E_G_S1
1458300_4201_55,D,Maf
1458300_4201_56,M,MreD
1458300_4201_57,M,MreC
1458300_4201_58,D,MreB_Mbl
1458300_4201_59,U,Bactofilin_Laminin_G_3
1458300_4201_60,NU,
1458300_4201_61,NU,N_methyl
1458300_4201_62,NU,N_methyl
1458300_4201_63,NU,GspH_N_methyl
1458300_4201_64,NU,N_methyl
1458300_4201_65,NU,N_methyl
1458300_4201_66,,
1458300_4201_67,NU,T2SSF
1458300_4201_68,NU,T2SSE_T2SSE_N
1458300_4201_69,S,TPR_14_TPR_16_TPR_19
1458300_4201_70,U,AAA_22
1458300_4201_71,U,Secretin_Secretin_N_2
1458300_4201_72,S,
1458300_4201_73,NU,PilO_T2SSM
1458300_4201_74,NU,PilN
1458300_4201_75,T,EAL_GAPES4_GGDEF
1458300_4201_76,L,SSB
1458300_4201_77,K,GerE
1458300_4201_78,M,NTP_transferase
1458300_4201_79,L,ABC_tran
1458300_4201_80,M,PglL_A_Wzy_C_Wzy_C_2
1458300_4201_81,E,Aminotran_5
1458300_4201_82,E,AA_kinase
1458300_4201_83,E,B12binding_B12binding_2_Met_synt_B12_Pterin_bind_Smethyl_trans
1458300_4201_84,P,Na_H_Exchanger
1458300_4325_1,L,DDE_Tnp_1_DUF772
1458300_4459_1,S,DUF2787
1458300_4459_2,E,RadC
1458300_4459_3,K,Phage_AlpA
1458300_4459_4,G,BNR_2_BNR_3_Siallectinser
1458300_4459_5,G,Amidohydro_1
1458300_4459_6,F,ROK
1458300_4459_7,G,NanE
1458300_4459_8,G,DctP
1458300_4459_9,G,DctQ
1458300_4459_10,G,DctM
1458300_4459_11,EM,DHDPS
1458300_4459_12,K,HTH_6_SIS
1458300_4459_13,M,Kelch_1_Kelch_2_Kelch_4_Kelch_6
1458300_4459_14,M,Kelch_2_Kelch_4
1458300_4459_15,K,WYL
1458300_4459_16,,
1458300_4459_17,,
1458300_4459_18,V,HsdM_N_N6_Mtase
1458300_4459_19,V,Methylase_S
1458300_4459_20,S,DUF262
1458300_4459_21,L,DUF1524_DUF262
1458300_4459_22,L,HSDR_N_ResIII
1458300_4459_23,S,
1458300_4459_24,N,OmpA
1458300_4459_25,S,EH_Signature
1458300_4459_26,L,Helicase_C_Mrr_cat_SNF2_N
1458300_4459_27,L,ArmDNAbind_3_Phage_int_SAM_3_Phage_integrase
1458300_4459_28,L,ArmDNAbind_3_Phage_int_SAM_3_Phage_integrase
1458300_4459_29,V,ACR_tran
1458300_4459_30,M,Biotin_lipoyl_2_HlyD_3_HlyD_D23
1458300_4459_31,S,ABC_trans_aux
1458300_4459_32,Q,MlaD
1458300_4459_33,S,PqiA
1458300_4459_34,M,MS_channel
1458300_4459_35,S,DUF4056
1458300_4459_36,M,Bac_surface_Ag
1458300_4459_37,,
1458300_4459_38,K,TetR_C_7_TetR_N
1458300_4459_39,C,Aldedh
1458300_4459_40,S,DUF1496
1458300_4459_41,E,PALP
1458300_4459_42,K,TetR_N
1458300_4459_43,I,AcylCoA_dh_1_AcylCoA_dh_M_AcylCoA_dh_N_DUF1974
1458300_4459_44,I,EnoRase_FAD_bd_EnoRase_NADH_b_Enoyl_reductase
1458300_4459_45,J,eIF1a
1458300_4459_46,O,ATE_C_ATE_N_PPO1_DWL
1458300_4459_47,O,Leu_Phe_trans
1458300_4459_48,E,EPSP_synthase
1458300_4459_49,S,DUF2498
1458300_4459_50,L,Topo_Zn_Ribbon_Topoisom_bac_Toprim_zfC4_Topoisom
1458300_4459_51,H,Hexapep_NTP_transferase
1458300_4459_52,F,Glyco_transf_5_Glycos_transf_1
1458300_4459_53,S,Abhydrolase_1
1458300_4459_54,S,DUF2007
1458300_4459_55,S,SNARE_assoc
1458300_4459_56,K,TfoX_C_TfoX_N
1458300_4459_57,K,LacI_Peripla_BP_1_Peripla_BP_3
1458300_4459_58,O,Nitrate_red_del
1458300_4459_59,K,Response_reg_Trans_reg_C
1458300_4459_60,S,DUF218
1458300_4459_61,J,Methyltransf_11_Methyltransf_31
1458300_4459_62,D,KicB_MukF_C_MukF_M
1458300_4459_63,D,MukE
1458300_4459_64,D,MukB_MukB_hinge_SbcCD_C
1458300_4459_65,K,AsnC_trans_reg_HTH_24
1458300_4459_66,E,LysE
1458300_4459_67,C,DUF3362_Radical_SAM_Radical_SAM_N
1458300_4459_68,T,CBS_EAL_PAS_PAS_8_PAS_9
1458300_4459_69,S,Peptidase_M16_Peptidase_M16_C
1458300_4459_70,,
1458300_4459_71,S,DUF4250
1458300_4459_72,K,HTH_1_LysR_substrate
1458300_4459_73,E,Meth_synt_1_Meth_synt_2
1458300_4459_74,S,T2SSS_2
1458300_4459_75,S,YCII
1458300_4459_76,I,4HBT
1458300_4459_77,D,IspA
1458300_4459_78,S,
1458300_4459_79,S,DUF218
1458300_4459_80,GM,Epimerase_NAD_binding_10_RmlD_sub_bind
1458300_4459_81,S,PsiE
1458300_4459_82,P,Form_Nir_trans
1458300_4459_83,C,NapE
1458300_4459_84,C,Cytochrom_NNT_DHC
1458300_4459_85,C,Molybdop_Fe4S4_Molybdopterin_Molydop_binding_TAT_signal
1458300_4459_86,G,Glyco_hydro_36C_Glyco_hydro_36N_Melibiase
1458300_4459_87,G,Melibiase
1458300_4459_88,S,ArsP_2
1458300_4459_89,C,DHH_DHHA2
1458300_4459_90,S,DUF2750
1458300_4459_91,S,DUF2927
1458300_4459_92,P,ABC_tran
1458300_4459_93,P,ABC_tran_oligo_HPY
1458300_4459_94,V,BPD_transp_1_OppC_N
1458300_4459_95,P,BPD_transp_1
1458300_4459_96,E,SBP_bac_5
1458300_4459_97,K,HTH_8_Sigma54_activat
1458300_4459_98,KT,PspA_IM30
1458300_4459_99,S,PspB
1458300_4459_100,KT,PspC
1458300_4459_101,M,Biotin_lipoyl_2_HlyD_3_HlyD_D23
1458300_4459_102,M,Biotin_lipoyl_2_HlyD_3
1458300_4459_103,V,ACR_tran
1458300_4459_104,L,Adenine_glyco
1458300_4459_105,E,Cys_Met_Meta_PP
1458300_4459_106,I,PLDc_PLDc_2_PLDc_N
1458300_4459_107,S,SNF
1458300_4459_108,J,PseudoU_synth_2
1458300_4459_109,I,CDPOH_P_transf
1458300_4459_110,S,ABC_tran
1458300_4459_111,P,BPD_transp_1
1458300_4459_112,S,SBP_bac_8
1458300_4459_113,O,META
1458300_4459_114,S,DUF1289
1458300_4459_115,,
1458300_4459_116,V,ABC2_membrane_ABC2_membrane_3
1458300_4459_117,V,ABC_tran_DUF4162
1458300_4459_118,M,Biotin_lipoyl_2_HlyD_3
1458300_4459_119,E,Aa_trans_Trp_Tyr_perm
1458300_4459_121,EG,EamA
1458300_4459_122,P,CBS_MgtE_MgtE_N
1458300_4459_123,T,HATPase_c_HisKA_Hpt_Response_reg_SBP_bac_3
1458300_4459_124,T,EAL_GerE_Response_reg
1458300_4459_125,T,Response_reg_TPR_19
1458300_4459_126,O,PPC_Peptidase_M9_Peptidase_M9_N
1458300_4459_127,M,Trypsin
1458300_4459_128,K,SBP_bac_5_SgrR_N
1458300_4459_130,S,HAD_2
1458300_4459_131,S,DUF3103
1458300_4459_132,NT,4HB_MCP_1_HAMP_MCPsignal_TarH
1458300_4459_133,S,RRF_GI
1458300_4459_134,T,EAL
1458300_4459_135,J,Ribosomal_L25p
1458300_4459_136,T,HATPase_c
1458300_4459_137,K,Response_reg_Trans_reg_C
1458300_4459_138,S,PepSY
1458300_4459_139,KL,Helicase_C_ResIII
1458300_4459_140,J,PseudoU_synth_2_S4
1458300_4459_141,EGP,MFS_1
1458300_4459_142,S,DUF2913
1458300_4459_143,GM,DUF2867_Epimerase_NAD_binding_10
1458300_4459_144,V,MatE
1458300_4459_145,V,ABC_tran
1458300_4459_146,V,FtsX_MacB_PCD
1458300_4459_147,S,CrtC_Lipocalin_9
1458300_4459_148,P,Na_H_antiport_1
1458300_4459_149,E,Aminotran_3_Pyridoxal_deC
1458300_4459_150,E,Sacchrp_dh_C_Sacchrp_dh_NADP
1458300_4459_151,H,Orn_Arg_deC_N_Orn_DAP_Arg_deC
1458300_4459_152,M,OmpA
1458300_4459_153,MU,OEP
1458300_4459_154,Q,Cadherin_Calxbeta_HemolysinCabind_VWA_2
1458300_4459_155,S,DUF1415
1458300_4459_156,EGP,MFS_1
1458300_4459_157,K,HTH_1_LysR_substrate
1458300_4459_158,O,Glutaredoxin
1458300_4459_159,S,DUF45
1458300_4459_160,J,Methyltransf_10
1458300_4459_161,,
1458300_4459_162,NU,TPR_12_TPR_16_TPR_17_TPR_19_TPR_2_TPR_6_TPR_8
1458300_4459_163,E,HTS
1458300_4459_164,S,AAA_33
1458300_4459_165,V,ABC2_membrane_3
1458300_4459_166,V,ABC2_membrane_3
1458300_4459_167,V,Biotin_lipoyl_2_HlyD_3_HlyD_D23
1458300_4459_168,MU,OEP
1458300_4459_169,,
1458300_4459_170,T,HATPase_c_HATPase_c_5_PAS_PAS_8_SPOB_a_sCache_3_2
1458300_4459_171,K,CitT_HTH_11_Response_reg
1458300_4459_172,ET,SBP_bac_3
1458300_4459_173,T,CheW_Response_reg
1458300_4459_174,ET,
1458300_4459_175,L,DUF2726_zfC4_Topoisom_zfGRF
1458300_4459_176,T,GGDEF
1458300_4459_177,ET,SBP_bac_3
1458300_4459_178,EGP,MFS_1
1458300_4459_179,H,GalP_UDP_tr_C_GalP_UDP_transf
1458300_4459_180,F,GHMP_kinases_C_GHMP_kinases_N_GalKase_gal_bdg
1458300_4459_181,G,Aldose_epim
1458300_4459_182,T,GGDEF
1458300_4459_183,T,EAL
1458300_4459_184,S,adh_short_C2
1458300_4459_185,EH,TPP_enzyme_C_TPP_enzyme_M_TPP_enzyme_N
1458300_4459_186,H,AAL_decarboxy
1458300_4459_187,H,AAL_decarboxy
1458300_4459_188,K,HTH_1_LysR_substrate
1458300_4459_189,S,DUF417
1458300_4459_190,P,Catalase_Catalaserel
1458300_4459_191,S,Ank_2_Ank_4_Ank_5
1458300_4459_192,P,Sod_Cu
1458300_4459_193,S,DUF2309
1458300_4459_194,CP,Proton_antipo_M
1458300_4459_195,K,HTH_1_LysR_substrate
1458300_4459_196,Q,AMPbinding
1458300_4459_197,,
1458300_4459_198,M,Lip_A_acyltrans
1458300_4459_199,S,ASCH
1458300_4459_200,S,DUF2127
1458300_4459_201,S,DMT_6
1458300_4459_202,C,FumaraseC_C_Lyase_1
1458300_4459_203,,
1458300_4459_204,C,Cyt_bd_oxida_I
1458300_4459_205,C,Cyt_bd_oxida_II
1458300_4459_206,V,ABC_tran
1458300_4459_207,V,FtsX_MacB_PCD
1458300_4459_208,V,FtsX_MacB_PCD
1458300_4459_209,MU,OEP
1458300_4459_210,M,HlyD_3_HlyD_D23
1458300_4459_211,S,Lactamase_B
1458300_4459_212,K,HTH_1_LysR_substrate
1458300_4459_213,P,peroxidase
1458300_4459_214,G,Glyco_hydro_1
1458300_4459_215,K,LacI_Peripla_BP_3
1458300_4459_216,J,Ribonuc_LPSP
1458300_4459_217,G,DUF386
1458300_4459_218,C,GDPD
1458300_4459_219,K,DeoRC_HTH_DeoR
1458300_4459_220,P,ABC_tran_TOBE_2
1458300_4459_221,P,BPD_transp_1
1458300_4459_222,P,BPD_transp_1
1458300_4459_223,G,SBP_bac_8
1458300_4459_224,S,DUF3450
1458300_4459_225,U,MotA_ExbB
1458300_4459_226,U,MotA_ExbB
1458300_4459_227,U,ExbD
1458300_4459_228,U,TonB_C
1458300_4459_229,S,ANAPC3_BTAD_TPR_14_TPR_16_TPR_19_TPR_4_TPR_8
1458300_4459_230,L,DNA_ligase_A_M_DNA_ligase_OB_2_RNA_ligase
1458300_4459_231,S,DUF3080
1458300_4459_232,V,MatE
1458300_4459_233,S,Cys_rich_CPXG
1458300_4459_234,G,Fructosamin_kin
1458300_4459_235,S,DUF3802
1458300_4459_236,M,NLPC_P60
1458300_4459_237,NT,MCPsignal
1458300_4459_238,I,FA_hydroxylase
1458300_4459_239,S,DTW
1458300_4459_240,F,ROK
1458300_4459_241,S,DUF2960
1458300_4459_242,ET,SBP_bac_3
1458300_4459_243,ET,SBP_bac_3
1458300_4459_244,H,MoCF_biosynth_MobB_MoeA_C_MoeA_N
1458300_4459_245,H,NTP_transf_3
1458300_4459_246,P,ABC_tran
1458300_4459_247,P,BPD_transp_1
1458300_4459_248,H,PBP_like_2
1458300_4459_249,T,HTH_8_Response_reg_Sigma54_activat
1458300_4459_250,T,HAMP_HATPase_c_HisKA_sCache_3_3
1458300_4459_251,S,ABC_tran_ABC_tran_Xtn
1458300_4459_252,C,FdhDNarQ
1458300_4459_253,S,DUF3305_DUF3306
1458300_4459_254,S,DUF3306
1458300_4459_255,C,Fer4_Fer4_7
1458300_4459_256,S,Nitrate_red_del
1458300_4459_257,S,TAT_signal
1458300_4459_258,C,Molybdop_Fe4S4_Molybdopterin_Molydop_binding
1458300_4459_259,C,Fer4_11_Fer4_7
1458300_4459_260,C,Ni_hydr_CYTB
1458300_4459_261,,
1458300_4459_262,K,SIR2
1458300_4459_263,S,DUF520
1458300_4459_264,E,DAHP_synth_1
1458300_4459_265,Q,DUF4442
1458300_4459_266,,
1458300_4459_267,S,S1_2
1458300_4459_268,J,Methyltr_RsmBF_Methyltr_RsmF_N_Methyltranf_PUA
1458300_4459_269,Q,MlaD
1458300_4459_270,S,PqiA
1458300_4459_271,V,ABC_membrane_ABC_tran
1458300_4459_272,T,GAF_2
1458300_4459_273,J,ProQ_ProQ_C
1458300_4459_274,M,BAGE_DUF3340_PDZ_Peptidase_S41
1458300_4459_275,,Lipocalin_4
1458300_4459_276,E,DUF3458_DUF3458_C_Peptidase_M1
1458300_4459_277,E,Bac_GDH
1458300_4459_278,F,DHO_dh
1458300_4459_279,D,ZapC
1458300_4459_281,J,Methyltrans_SAM_THUMP_UPF0020
1458300_4459_282,O,DUF836
1458300_4459_283,S,ABC_tran_ABC_tran_CTD_ABC_tran_Xtn_MMR_HSR1
1458300_4459_284,S,DUF3466
1458300_4459_285,J,RMF
1458300_4459_286,I,FabA
1458300_4459_287,O,AAA_32_Lon_C
1458300_4459_288,D,MatP_MatP_C
1458300_4459_289,S,DUF3634
1458300_4459_290,,
1458300_4459_291,K,HTH_3
1458300_4459_292,S,Phage_CRI_Phage_X
1458300_4459_293,,
1458300_4459_296,K,Aldo_ket_red_DUF3653_Fic_GIYYIG_HTH_19_HTH_3_HTH_31_MqsA_antitoxin_RHH_5
1458300_4606_1,S,DUF1904
1458300_4606_2,C,Nitroreductase
1458300_4606_3,C,Fer4_Fer4_7
1458300_4606_4,O,Peptidase_U32_Peptidase_U32_C
1458300_4606_5,L,RdgC
1458300_4606_6,K,Response_reg_Trans_reg_C
1458300_4606_7,T,DUF3329_HATPase_c_HisKA_PAS
1458300_4606_8,P,PBP_like_2
1458300_4606_9,FP,PpxGppA
1458300_4606_10,F,PP_kinase_PP_kinase_C_PP_kinase_N
1458300_4606_11,P,BPD_transp_1
1458300_4606_12,P,BPD_transp_1
1458300_4606_13,P,ABC_tran
1458300_4606_14,P,PhoU
1458300_4606_15,S,PPK2
1458300_4606_16,P,CutC
1458300_4606_17,O,1cysPrx_C_AhpCTSA
1458300_4606_18,K,HTH_1_LysR_substrate
1458300_4606_19,H,Malate_synthase
1458300_4606_20,C,ICL
1458300_4606_21,S,CBS
1458300_4606_22,F,Queuosine_synth
1458300_4606_23,F,TGT
1458300_4606_24,U,YajC
1458300_4606_25,U,SecDTM1_SecD_SecF_Sec_GG
1458300_4606_26,U,SecD_SecF_Sec_GG
1458300_4606_27,G,Inositol_P
1458300_4606_28,J,SpoU_methylase
1458300_4606_29,K,Rrf2
1458300_4606_30,H,Aminotran_5
1458300_4606_31,C,NifU_N
1458300_4606_32,C,FeS_biosyn
1458300_4606_33,O,DnaJ_HSCB_C
1458300_4606_34,O,HSP70
1458300_4606_35,C,Fer2
1458300_4606_36,S,FeS_assembly
1458300_4606_37,E,DUF3663_Peptidase_M17
1458300_4606_38,F,NDK
1458300_4606_39,J,Fer4_14_Radical_SAM
1458300_4606_40,S,DUF4115_HTH_25
1458300_4606_41,I,GcpE
1458300_4606_42,J,HGTP_anticodon_tRNAsynt_His
1458300_4606_43,S,TPR_21
1458300_4606_44,M,PQQ_2_PQQ_3
1458300_4606_45,S,KH_domlike_MMR_HSR1
1458300_4606_46,S,
1458300_4606_47,L,zincribbons_6
1458300_4606_48,L,Exonuc_VII_L_tRNA_anti_2
1458300_4606_49,F,CBS_IMPDH
1458300_4606_50,F,GATase_GMP_synt_C_NAD_synthase
1458300_4606_51,E,CBM_5_12_Glyco_hydro_19
1458300_4606_52,S,Grp1_Fun34_YaaH
1458300_4606_53,Q,Isochorismatase_PPbinding
1458300_4606_54,Q,AMPbinding_AMPbinding_C
1458300_4606_55,HQ,Chorismate_bind
1458300_4606_56,IQ,adh_short_adh_short_C2
1458300_4606_57,Q,Condensation
1458300_4606_58,P,Peripla_BP_2
1458300_4606_59,P,FecCD
1458300_4606_60,P,FecCD
1458300_4606_61,HP,ABC_tran
1458300_4606_62,Q,ACPS
1458300_4606_63,K,HTH_1_LysR_substrate
1458300_4606_64,Q,Alkyl_sulf_C_Alkyl_sulf_dimr_Lactamase_B
1458300_4606_65,U,Na_Ala_symp
1458300_4606_66,C,DAO
1458300_4606_67,K,HTH_1_LysR_substrate
1458300_4606_68,Q,DOPA_dioxygen
1458300_4606_69,,
1458300_4606_70,K,CitT_Response_reg
1458300_4606_71,T,HATPase_c_HATPase_c_5_PAS_PAS_8_SPOB_a_sCache_3_2
1458300_4606_72,C,OAD_beta
1458300_4606_73,CI,Biotin_lipoyl_HMGLlike_PYC_OADA
1458300_4606_74,C,OAD_gamma
1458300_4606_75,C,2HCT
1458300_4606_76,H,Acetyltransf_1_Acetyltransf_10_Citrate_ly_lig
1458300_4606_77,C,ACP
1458300_4606_78,G,HpcH_HpaI
1458300_4606_79,H,CitF
1458300_4606_80,H,CitX
1458300_4606_81,F,CitG
1458300_4606_82,S,ACT_3_ACT_7
1458300_4606_83,H,SpoU_methylase
1458300_4606_84,C,DUF3470_Fer4_Fer4_9
1458300_4606_85,S,Amino_oxidase_FAD_binding_3_HI0933_like_Pyr_redox_2
1458300_4606_86,,
1458300_4606_87,S,SWIM
1458300_4606_88,,
1458300_4606_89,L,NERD
1458300_4606_90,L,DUF3427_Helicase_C_PLDc_2_ResIII
1458300_4606_91,Q,Methyltransf_11_Methyltransf_23_Methyltransf_25
1458300_4606_92,K,HTH_3
1458300_4606_93,S,HipA_C
1458300_4606_95,L,HTH_32_rve
1458300_4606_96,C,Aldedh
